severity,issue_type,question_id,paper_family,paper,question_number,question_image_path,mark_scheme_image_path,question_image_url,mark_scheme_image_url,details,evidence,confirmed_visual_observation
confirmed,route_topic_family_mismatch,13autumn19_q10,p1,13autumn19,10,p1/13autumn19/questions/q10.png,p1/13autumn19/mark_scheme/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/13autumn19/questions/q10.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/13autumn19/mark_scheme/q10.png,primary_topic_id 9709_p3_topic_vectors does not match family p1,topic filter label may be wrong,
confirmed,question_image_cropped_too_short,31autumn15_q02,p3,31autumn15,2,p3/31autumn15/questions/q02.png,p3/31autumn15/mark_scheme/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p3/31autumn15/questions/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p3/31autumn15/mark_scheme/q02.png,"Question image size (1578, 75); mark scheme size (1541, 251)",,"Question image stops after ""correct to""; mark scheme matches the visible question start."
confirmed,question_image_cropped_too_short,32autumn15_q02,p3,32autumn15,2,p3/32autumn15/questions/q02.png,p3/32autumn15/mark_scheme/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p3/32autumn15/questions/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p3/32autumn15/mark_scheme/q02.png,"Question image size (1578, 75); mark scheme size (1541, 251)",,"Question image stops after ""correct to""; same crop defect as 31autumn15_q02."
confirmed,question_image_cropped_too_short,62autumn14_q05,p5,62autumn14,5,p5/62autumn14/questions/q05.png,p5/62autumn14/mark_scheme/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p5/62autumn14/questions/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p5/62autumn14/mark_scheme/q05.png,"Question image size (1578, 70); mark scheme size (1556, 725)",,"Question image stops after ""normal distribution with mean""; mark scheme is for q05."
risk,pipeline_image_review_flags,01autumn08_q01,p1,01autumn08,1,p1/01autumn08/questions/q01.png,p1/01autumn08/mark_scheme/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01autumn08/questions/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01autumn08/mark_scheme/q01.png,Pipeline reported image/crop/content review flags,polluted_pass_requires_review,
risk,validation_status_fail,01autumn08_q01,p1,01autumn08,1,p1/01autumn08/questions/q01.png,p1/01autumn08/mark_scheme/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01autumn08/questions/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01autumn08/mark_scheme/q01.png,Pipeline validation_status='fail',polluted_pass_requires_review,
risk,pipeline_image_review_flags,01summer09_q01,p1,01summer09,1,p1/01summer09/questions/q01.png,p1/01summer09/mark_scheme/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q01.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q01,p1,01summer09,1,p1/01summer09/questions/q01.png,p1/01summer09/mark_scheme/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q01.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q01.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,01summer09_q02,p1,01summer09,2,p1/01summer09/questions/q02.png,p1/01summer09/mark_scheme/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q02.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q02,p1,01summer09,2,p1/01summer09/questions/q02.png,p1/01summer09/mark_scheme/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q02.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q02.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,01summer09_q03,p1,01summer09,3,p1/01summer09/questions/q03.png,p1/01summer09/mark_scheme/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q03.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q03,p1,01summer09,3,p1/01summer09/questions/q03.png,p1/01summer09/mark_scheme/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q03.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q03.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,01summer09_q04,p1,01summer09,4,p1/01summer09/questions/q04.png,p1/01summer09/mark_scheme/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q04.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q04,p1,01summer09,4,p1/01summer09/questions/q04.png,p1/01summer09/mark_scheme/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q04.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q04.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
risk,pipeline_image_review_flags,01summer09_q05,p1,01summer09,5,p1/01summer09/questions/q05.png,p1/01summer09/mark_scheme/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q05.png,Pipeline reported image/crop/content review flags,paper_total_mismatch,
risk,validation_status_review_with_image_flags,01summer09_q05,p1,01summer09,5,p1/01summer09/questions/q05.png,p1/01summer09/mark_scheme/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/questions/q05.png,https://colourfour.github.io/Rock-Paper-Scissors/data/step-3/p1/01summer09/mark_scheme/q05.png,Pipeline validation_status='review' with image-related flags,paper_total_mismatch,
